 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         365          12          31        2005 rtu001          ru      ru           75 tot   1.000000       2395.884      7.9459250E-03  6.1821088E-02  2.8928453E-02  0.7789009      0.7499116      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.3651291E-03  4.6882615E-04  4.8298849E-04  2.6094115E-03  2.4560662E-03  0.0000000E+00   6433.955    
         365          12          31        2005 rtu001          ru      aqu           1 rhg   1.000000       2443.888      0.0000000E+00  0.0000000E+00  0.0000000E+00   46.56710      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.133977    
         365          12          31        2005 rtu002          ru      ru          153 tot   1.000000       3541.970      1.0744309E-02  8.6731344E-02  4.0580496E-02   1.043262       1.110894      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1633448E-02  5.4615800E-04  5.6620862E-04  3.5544822E-03  3.3391956E-03  0.0000000E+00   3315.410    
         365          12          31        2005 rtu002          ru      aqu           1 rhg   1.000000       3224.784      0.0000000E+00  0.0000000E+00  0.0000000E+00   62.81348      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.101776    
         365          12          31        2005 rtu004          ru      ru          269 tot   1.000000       2716.218      1.7034403E-03  1.8671906E-02  7.4552703E-03   16.61363      3.8301282E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0786051E-03  4.3402813E-04  4.4866939E-04  1.6123293E-03  9.6060592E-04  0.0000000E+00   1.072915    
         365          12          31        2005 rtu004          ru      aqu           1 rhg   1.000000       3379.868      0.0000000E+00  0.0000000E+00  0.0000000E+00   21.00687      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.051677    
         365          12          31        2005 rtu005          ru      ru          251 tot   1.000000       223.8005      2.9427920E-07  8.9634574E-07  2.6890355E-06   1.267673      8.9634574E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.9427937E-04  2.9427937E-04  2.9427937E-04  2.9427937E-04  2.9427937E-04  0.0000000E+00   4.104861    
         365          12          31        2005 rtu005          ru      aqu           1 rhg   1.000000       9389.482      0.0000000E+00  0.0000000E+00  0.0000000E+00   61.11020      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.024385    
         365          12          31        2005 rtu006          ru      ru          254 tot   1.000000       497.9942      3.1109701E-04  2.8366491E-03  1.1329546E-03   2.370803      9.5049459E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.8498626E-04  2.8787021E-04  2.9003381E-04  4.6602858E-04  3.6706886E-04  0.0000000E+00   1.578537    
         365          12          31        2005 rtu006          ru      aqu           1 rhg   1.000000       779.2248      0.0000000E+00  0.0000000E+00  0.0000000E+00   4.939156      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.236923    
         365          12          31        2005 rtu007          ru      ru          254 tot   1.000000       45.83828      2.7387094E-07  2.6682704E-07  8.0048085E-07  0.2305786      2.6682704E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7387094E-04  2.7387094E-04  2.7387094E-04  2.7387094E-04  2.7387094E-04  0.0000000E+00   75.54055    
